Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
31242822,859120,0,0.23,5.16,59042196924.25,0,-2.18,0,0,3185,
31242824,859120,0,0.23,5.16,59042193889.48,0,-2.18,0,0,3185,
31242826,859120,0,0.23,5.16,59042190854.7,0,-2.18,0,0,3185,
31242828,859120,0,0.23,5.16,59042187819.93,0,-2.18,0,0,3185,
31242830,859120,0,0.23,5.16,59042184785.15,0,-2.18,0,0,3185,
31242832,859120,0,0.23,5.16,59042181750.38,0,-2.18,0,0,3185,
31242834,859120,0,0.23,5.16,59042178715.6,0,-2.18,0,0,3185,
31242836,859120,0,0.23,5.16,59042175680.82,0,-2.18,0,0,3185,
31242838,859120,0,0.23,5.16,59042172646.04,0,-2.18,0,0,3185,
31242840,859120,0,0.23,5.16,59042169611.27,0,-2.18,0,0,3185,
31242842,859120,0,0.23,5.16,59042166576.49,0,-2.18,0,0,3185,
31242844,859120,0,0.23,5.16,59042163541.7,0,-2.18,0,0,3185,
31242846,859120,0,0.23,5.16,59042160506.92,0,-2.18,0,0,3185,
31242848,859119,0,0.23,5.16,59042157472.14,0,-2.18,0,0,3185,
31242850,859119,0,0.23,5.16,59042154437.36,0,-2.18,0,0,3185,
31242852,859119,0,0.23,5.16,59042151402.57,0,-2.18,0,0,3185,
31242854,859119,0,0.23,5.16,59042148367.79,0,-2.18,0,0,3185,
31242856,859119,0,0.23,5.16,59042145333,0,-2.18,0,0,3185,
31242858,859119,0,0.23,5.16,59042142298.22,0,-2.18,0,0,3185,
31242860,859119,0,0.23,5.16,59042139263.43,0,-2.18,0,0,3185,
31242862,859119,0,0.23,5.16,59042136228.64,0,-2.18,0,0,3185,
31242864,859119,0,0.23,5.16,59042133193.85,0,-2.18,0,0,3185,
31242866,859119,0,0.23,5.16,59042130159.06,0,-2.18,0,0,3185,
31242868,859119,0,0.23,5.16,59042127124.27,0,-2.18,0,0,3185,
31242870,859119,0,0.23,5.16,59042124089.48,0,-2.18,0,0,3185,
31242872,859119,0,0.23,5.16,59042121054.69,0,-2.18,0,0,3185,
31242874,859119,0,0.23,5.16,59042118019.89,0,-2.18,0,0,3185,
31242876,859119,0,0.23,5.16,59042114985.1,0,-2.18,0,0,3185,
31242878,859119,0,0.23,5.16,59042111950.31,0,-2.18,0,0,3185,
31242880,859119,0,0.23,5.16,59042108915.51,0,-2.18,0,0,3185,
31242882,859119,0,0.23,5.16,59042105880.71,0,-2.18,0,0,3185,
31242884,859119,0,0.23,5.16,59042102845.92,0,-2.18,0,0,3185,
31242886,859119,0,0.23,5.16,59042099811.12,0,-2.18,0,0,3185,
31242888,859119,0,0.23,5.16,59042096776.32,0,-2.18,0,0,3185,
31242890,859118,0,0.23,5.16,59042093741.52,0,-2.18,0,0,3185,
31242892,859118,0,0.23,5.16,59042090706.72,0,-2.18,0,0,3185,
31242894,859118,0,0.23,5.16,59042087671.92,0,-2.18,0,0,3185,
31242896,859118,0,0.23,5.16,59042084637.12,0,-2.18,0,0,3185,
31242898,859118,0,0.23,5.16,59042081602.32,0,-2.18,0,0,3185,
31242900,859118,0,0.23,5.16,59042078567.51,0,-2.18,0,0,3185,
31242902,859118,0,0.23,5.16,59042075532.71,0,-2.18,0,0,3185,
31242904,859118,0,0.23,5.16,59042072497.9,0,-2.18,0,0,3185,
31242906,859118,0,0.23,5.16,59042069463.1,0,-2.18,0,0,3185,
31242908,859118,0,0.23,5.16,59042066428.29,0,-2.18,0,0,3185,
31242910,859118,0,0.23,5.16,59042063393.48,0,-2.18,0,0,3185,
31242912,859118,0,0.23,5.16,59042060358.67,0,-2.18,0,0,3185,
31242914,859118,0,0.23,5.16,59042057323.87,0,-2.18,0,0,3185,
31242916,859118,0,0.23,5.16,59042054289.06,0,-2.18,0,0,3185,
31242918,859118,0,0.23,5.16,59042051254.24,0,-2.18,0,0,3185,
31242920,859118,0,0.23,5.16,59042048219.43,0,-2.18,0,0,3185,
31242922,859118,0,0.23,5.16,59042045184.62,0,-2.18,0,0,3185,
31242924,859118,0,0.23,5.16,59042042149.81,0,-2.18,0,0,3185,
31242926,859118,0,0.23,5.16,59042039114.99,0,-2.18,0,0,3185,
