Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
31242822,859120,0,0.23,5.16,59042196955.24,0,-2.18,0,0,3185,
31242824,859120,0,0.23,5.16,59042193920.46,0,-2.18,0,0,3185,
31242826,859120,0,0.23,5.16,59042190885.69,0,-2.18,0,0,3185,
31242828,859120,0,0.23,5.16,59042187850.92,0,-2.18,0,0,3185,
31242830,859120,0,0.23,5.16,59042184816.14,0,-2.18,0,0,3185,
31242832,859120,0,0.23,5.16,59042181781.37,0,-2.18,0,0,3185,
31242834,859120,0,0.23,5.16,59042178746.59,0,-2.18,0,0,3185,
31242836,859120,0,0.23,5.16,59042175711.81,0,-2.18,0,0,3185,
31242838,859120,0,0.23,5.16,59042172677.03,0,-2.18,0,0,3185,
31242840,859120,0,0.23,5.16,59042169642.25,0,-2.18,0,0,3185,
31242842,859120,0,0.23,5.16,59042166607.47,0,-2.18,0,0,3185,
31242854,859119,0,0.23,5.16,59042127289.66,0,-2.18,0,0,3185,
31242884,859118,0,0.23,5.16,59042072333.81,0,-2.18,0,0,3185,
31242928,859117,0,0.23,5.16,59041993087.54,0,-2.18,0,0,3185,
31242988,859116,0,0.23,5.16,59041889550.37,0,-2.18,0,0,3185,
31243064,859114,0,0.23,5.16,59041761721.61,0,-2.18,0,0,3185,
31243156,859111,0,0.23,5.16,59041609600.48,0,-2.18,0,0,3185,
31243264,859109,0,0.23,5.16,59041433185.99,0,-2.18,0,0,3185,
31243388,859106,0,0.23,5.16,59041232477.04,0,-2.18,0,0,3185,
31243528,859103,0,0.23,5.16,59041007472.31,0,-2.18,0,0,3185,
31243686,859099,0,0.23,5.16,59040758170.42,0,-2.18,0,0,3186,
31243858,859095,0,0.23,5.16,59040484866.01,0,-2.18,0,0,3186,
31244046,859091,0,0.23,5.16,59040187261.09,0,-2.18,0,0,3186,
31244250,859086,0,0.23,5.16,59039865353.79,0,-2.18,0,0,3186,
31244470,859081,0,0.23,5.16,59039519142.05,0,-2.18,0,0,3186,
31244706,859075,0,0.23,5.16,59039148623.68,0,-2.18,0,0,3186,
31244958,859070,0,0.23,5.16,59038753796.29,0,-2.18,0,0,3186,
31245226,859064,0,0.23,5.16,59038334657.4,0,-2.18,0,0,3186,
31245510,859057,0,0.23,5.16,59037891204.33,0,-2.18,0,0,3186,
31245810,859050,0,0.23,5.16,59037423434.28,0,-2.18,0,0,3186,
31246126,859043,0,0.23,5.16,59036931344.23,0,-2.18,0,0,3186,
31246458,859035,0,0.23,5.16,59036414931.05,0,-2.18,0,0,3186,
31246806,859028,0,0.23,5.16,59035874191.54,0,-2.18,0,0,3186,
31247170,859019,0,0.23,5.16,59035309270.33,0,-2.18,0,0,3186,
31247550,859011,0,0.23,5.16,59034720163.96,0,-2.18,0,0,3186,
31247946,859002,0,0.23,5.16,59034112797.18,0,-2.18,0,0,3186,
31248346,858993,0,0.23,5.16,59033505398.2,0,-2.18,0,0,3186,
31248746,858984,0,0.23,5.16,59032897967.03,0,-2.18,0,0,3186,
31249146,858975,0,0.23,5.16,59032290503.7,0,-2.18,0,0,3186,
31249546,858966,0,0.23,5.16,59031683008.19,0,-2.18,0,0,3186,
31249946,858957,0,0.23,5.16,59031075480.48,0,-2.18,0,0,3187,
